No,Type
4,C
5,C
6,C
23,C
24,C
44,A
49,A
51,A
54,A
58,A
60,A
61,A
69,A
70,A
72,A
73,A
77,B
78,B
85,B
86,B
88,B
91,B
94,B
95,B
96,B
97,B
105,C
106,C
107,C
108,C
116,B
117,B
118,B
119,B
120,B
121,B
122,B
123,B
130,C
131,C
132,C
133,C
139,C
140,C
141,C
142,C
145,C
146,C
147,C
149,C
150,B
151,B
155,C
161,C
162,C
163,C
164,C
166,C
167,C
167,C
169,C
170,C
171,C
172,C
173,C
174,C
175,C
176,C
180,A
181,A
182,A
183,A
184,A
185,A
186,A
187,A
188,A
190,A
191,A
192,A
193,A
195,B
196,B
207,B
208,B
209,B
219,B
220,B
221,B
226,A
227,A
228,A
262,B
278,A
323,C
327,C
328,C
329,C
331,C
333,C
334,C
335,C
336,C
362,A
363,A
368,A
369,A
381,C
382,C
383,C
384,C
385,C
386,C
387,C
388,C
389,C
390,C
391,C
392,C
393,C
394,C
401,C
402,C
403,C
404,C
405,C
406,C
407,C
408,C
409,C
410,C
411,C
412,C
413,C
414,C
512,B
513,B
514,B
515,B
516,B
517,B
525,B
526,B
527,B
528,B
529,B
530,B
531,B
532,B
533,B
534,B
536,B
544,B
545,B
546,B
547,B
548,B
596,A
597,A
600,A
615,A
623,A
627,A
629,B
631,B
632,B
633,B
634,B
635,B
636,B
637,B
658,A
663,A
664,A
670,A
671,A
672,A
680,A
681,A
682,A
684,A
685,A
700,A
704,A
705,A
706,A
707,A
716,A
717,A
720,A
726,A
727,A
729,A
730,A
731,A
732,A
733,A
734,A
735,A
736,A
737,A
738,A
739,A
740,A
741,A
742,A
743,A
744,A
745,A
746,A
747,A
748,B
749,B
750,B
751,B
752,B
753,B
754,B
755,B
756,B
757,B
758,B
759,B
760,B
763,C
764,C
767,B
768,B
769,B
772,B
777,B
778,B
779,B
782,C
796,A
797,A
798,C
799,C
800,C
801,C
802,C
803,C
804,C
805,C
836,C
837,C
838,C
839,C
840,C
841,C
842,C
843,C
844,C
846,C
863,A
864,A
865,A
869,A
871,A
872,A
873,A
874,A
875,A
907,A
919,A
920,A
921,A
931,A
932,A
933,A
934,A
935,A
940,A
941,A
942,A
943,A
944,A
945,A
946,A
947,A
948,A
949,A
954,A
955,A
956,A
957,A
963,C
964,C
965,C
966,C
967,C
969,C
970,C
971,C
974,A
975,A
976,A
986,A
987,A
988,A
989,A
990,C
991,C
992,C
994,C
995,C
996,C
997,C
998,C
999,C
1000,C
1001,C
1002,C
1003,C
1004,C
1005,C
1006,C
1007,C
1008,C
1009,C
1010,C
1012,C
1023,A
1024,A
1026,A
1027,A
1031,A
1032,A
1034,A
1040,C
1041,A
1042,A
1044,A
1045,A
1046,A
1047,A
1048,A
1050,A
1051,A
1059,B
1060,B
1081,A
1089,A
1090,A
1091,A
1097,A
1098,A
1113,C
1114,C
1115,C
1173,A
1174,A
1175,A
1176,A
1177,A
1181,C
1182,C
1183,C
1184,C
1185,C
1186,C
1187,C
1190,C
1191,C
1192,C
1193,C
1194,C
1195,C
1196,C
1197,C
1199,C
1200,C
1201,C
1202,C
1203,C
1204,C
1205,C
1206,C
1207,C
1208,C
1209,C
1210,C
1212,B
1216,C
1217,C
1225,C
1226,C
1227,C
1231,C
1237,C
1238,C
1244,C
1247,C
1285,A
1286,A
1287,A
1288,B
1289,B
1290,B
1292,B
1295,B
1296,B
1329,A
1330,A
1331,A
1332,A
1362,C
1363,C
1364,C
1365,C
1366,C
1392,A
1393,A
1394,A
1395,A
1396,A
1397,A
1398,A
1399,A
1433,A
1434,A
1435,A
1436,A
1452,A
1468,A
1469,A
1557,A
1558,A
1559,A
1560,A
1561,A
1562,A
1563,A
1564,A
1565,A
1566,A
1567,A
1568,A
1569,A
1570,A
1571,A
1572,A
1573,B
1574,B
1575,D
1576,B
1577,B
1578,B
1579,B
1580,C
1581,A
1582,A
1583,A
1584,A
1585,A
1586,D
1587,A
1588,A
1589,A
1590,A
1591,A
1592,C
1593,C
1594,C
1595,C
1596,C
1597,C
1598,C
1599,C
1600,C
1601,C
1602,C
1603,C
1604,C
1605,C
1606,C
1607,D
1608,D
1609,D
1610,D
1611,D
1612,D
1613,D
1614,D
1615,D
1616,D
1617,D
1618,D
1619,D
1620,C
1621,C
1622,C
1623,C
1624,C
1625,C
1626,C
1627,C
1628,C
1629,C
1630,C
1631,C
1632,C
1633,C
1634,C
1635,C
1636,C
1637,C
1638,C
1639,C
1640,C
1641,C
1642,C
1643,C
1644,C
1645,C
1646,C
1647,C
1648,C
1649,C
1650,C
1651,A
1652,A
1653,A
1654,A
1655,A
1656,A
1657,A
1658,A
1659,A
1660,A
1661,A
1662,A
1663,A
1664,C
1665,A
1666,A
1667,A
1668,A
1669,A
1670,D
1671,D
1672,A
1673,A
1674,A
1675,A
1676,A
1677,A
1678,A
1679,A
1680,D
1681,A
1682,A
1683,A
1684,A
1685,A
1686,A
1687,A
1688,A
1689,A
1690,A
1691,A
1692,A
1693,A
1694,A
1695,A
1696,A
1697,A
1698,A
1699,A
1700,A
1701,A
1702,A
1703,A
1704,A
1705,A
1706,A
1707,A
1708,A
1709,C
1710,A
1711,A
1712,A
1713,B
1714,B
1715,B
1716,B
1717,B
1718,B
1719,C
1720,D
1721,A
1722,A
1723,A
1724,A
1725,A
1726,A
1727,A
1728,D
1729,D
1730,A
1731,C
1732,D
1733,A
1734,A
1735,A
1736,A
1737,A
1738,A
1739,A
1740,A
1741,A
1742,A
1743,A
1744,A
1745,A
1746,A
1747,A
1748,A
1749,A
1750,A
1751,D
1752,D
1753,D
1754,D
1755,D
1756,D
1757,D
1758,D
1759,D
1760,D
1761,D
1762,D
1763,D
1764,D
1765,D
1766,D
1767,D
1768,D
1769,B
1770,B
1771,D
1772,B
1773,A
1774,A
1775,A
1776,A
1777,A
1778,A
1779,D
1780,D
1781,A
1782,A
1783,A
1784,A
1785,A
1786,A
1787,A
1788,A
1789,A
1790,A
1791,A
1792,A
1793,A
1794,A
1795,A
1796,A
1797,A
1798,A
1799,A
1800,A
1801,D
1802,A
1803,A
1804,D
1805,D
1806,A
1807,A
1808,A
1809,A
1810,A
1811,A
1812,A
1813,D
1814,B
1815,A
1816,A
1817,A
1818,A
1819,A
1820,A
1821,A
1822,A
1823,A
1824,D
1825,D
1826,D
1827,A
1829,A
1830,A
1831,A
1832,A
1833,A
1834,A
1835,A
1836,A
1837,D
1838,A
1839,A
1840,A
1841,A
1842,A
1843,A
1844,A
1845,A
1846,A
1847,A
1848,A
1849,A
1850,A
1851,A
1852,A
1853,A
1854,A
1855,D
1856,D
1858,A
1859,B
1860,B
1861,B
1862,A
1863,B
1864,B
1865,D
1866,D
1867,D
1868,B
1869,D
1870,D
1871,D
1872,D
1873,D
1874,D
1875,D
1876,D
1877,C
1878,C
1879,C
1880,C
1881,C
1882,C
1883,C
1884,C
1885,C
1886,C
1887,C
1888,C
1889,D
1890,C
1891,C
1892,D
1893,C
1894,C
1895,D
1896,D
1897,D
1898,D
1899,D
1900,D
1901,A
1902,A
1903,A
1904,A
1905,A
1906,D
1907,A
1908,A
1909,A
1910,A
1911,B
1912,B
1913,A
1914,A
1915,A
1916,A
1917,A
1918,A
1919,A
1920,D
1921,D
1922,D
1923,A
1924,A
1925,A
1926,A
1927,A
1928,A
1929,A
1930,A
1931,A
1932,A
1933,A
1934,A
1935,D
1936,D
1937,D
1938,D
1939,D
1940,D
1941,D
1942,D
1943,D
1944,D
1945,D
1946,D
1947,D
1948,D
1949,A
1950,A
1951,A
1952,A
1953,A
1954,A
1955,D
1956,D
1957,D
1958,D
1959,A
1960,A
1961,C
1962,C
1963,C
1964,C
1965,C
1966,C
1967,C
1968,C
1969,A
1970,A
1971,A
1972,A
1973,A
1974,A
1975,A
1976,A
1977,A
1978,A
1979,A
1980,A
1981,A
1982,A
1983,A
1984,D
1985,A
1986,A
1987,A
1988,B
1989,D
1990,D
1991,D
1992,C
1993,B
1994,B
1995,C
1996,C
1997,C
1998,C
1999,D
2000,D
2001,D
2002,D
2003,D
2004,D
2005,D
2006,D
2007,D
2008,A
2009,D
2010,D
2011,D
2012,D
2013,D
2014,D
2015,D
2016,A
2017,D
2018,A
2019,D
2020,D
2021,A
2022,A
2023,D
2024,D
2025,A
2026,D
2027,B
2028,D
2029,D
2030,D
2031,D
2032,D
2033,D
2034,D
2035,D
2036,D
2037,D
2038,A
2039,A
2040,D
2041,A
2042,A
2043,D
2044,A
2045,D
2046,A
2047,A
2048,C
2049,C
2050,C
2051,C
2052,C
2053,C
2054,C
2055,D
2056,C
2057,C
2058,C
2059,C
2060,B
2061,B
2062,B
2063,B
2064,B
2065,C
2066,C
2067,C
2068,B
2069,B
2070,B
2071,D
2072,B
2073,D
2074,A
2075,A
2076,A
2077,A
2078,A
2079,A
2080,A
2081,A
2082,C
2083,C
2084,C
2085,C
2086,C
2087,C
2088,C
2089,C
2090,C
2091,C
2092,C
2093,C
2094,C
2095,C
2096,A
2097,A
2098,A
2099,A
2100,D
2101,A
2102,A
2103,A
2104,D
2105,D
2106,A
2107,A
2108,A
2109,D
2110,D
2111,A
2112,D
2113,D
2114,D
2115,D
2116,D
2117,D
2118,D
2119,D
2120,D
2121,D
2122,A
2123,D
2124,D
2125,A
2126,D
2127,D
2128,A
2129,D
2130,A
2131,A
2132,A
2133,A
2134,D
2135,D
2136,D
2137,D
2138,D
2139,D
2140,A
2141,A
2142,A
2143,A
2144,A
2145,D
2146,D
2147,D
2148,D
2149,D
2150,D
2151,D
2152,D
2153,D
2154,D
2155,D
2156,D
2157,D
2158,D
2159,A
2160,A
2161,D
2162,D
2163,D
2164,D
2165,D
2166,A
2167,A
2168,A
2169,A
2170,A
2171,A
2172,D
2173,D
2174,D
2175,D
2176,D
2177,D
2178,A
2179,A
2180,A
2181,A
2182,A
2183,A
2184,D
2185,D
2186,D
2187,A
2188,A
2189,D
2190,D
2191,A
2192,A
2193,A
2194,A
2195,A
2196,A
2197,D
2198,D
2199,A
2200,A
2201,A
2202,A
2203,A
2204,A
2205,A
2206,A
2207,A
2208,D
2209,D
2210,A
2211,A
2212,D
2213,D
2214,D
2215,D
2216,D
2217,B
2218,B
2219,B
2220,B
2221,B
2222,B
2223,B
2224,A
2225,A
2226,A
2227,A
2228,A
2229,A
2230,A
2231,A
2232,A
2233,A
2234,A
2235,A
2236,A
2237,D
2238,A
2239,A
2240,A
2241,A
2242,A
2243,A
2244,B
2245,B
2246,B
2247,B
2248,B
2249,B
2250,B
2251,B
2252,B
2253,A
2254,A
2255,A
2256,B
2257,B
2258,B
2259,B
2260,B
2261,B
2262,B
2263,B
2264,B
2265,B
2266,B
2267,B
2268,B
2269,D
2270,D
2271,D
2272,D
2273,D
2274,D
2275,D
2276,C
2277,C
2278,C
2279,C
2280,D
2281,D
2282,D
2283,D
2284,D
2285,A
2286,A
2287,D
2288,D
2289,D
2290,D
2291,D
2292,D
2293,D
2294,D
2295,D
2296,D
2297,D
2298,D
2299,C
2300,C
