ID,Category,ID
1,[0 1 1 0],1
2,[0 0 1 0],2
3,[1 0 0 0],3
4,[1 0 0 0],4
5,[1 0 0 0],5
6,[1 0 0 0],6
7,[1 0 0 0],7
8,[1 0 0 0],8
9,[0 0 0 1],9
10,[0 1 0 1],10
11,[1 0 0 0],11
12,[0 0 0 1],12
13,[0 0 0 1],13
14,[0 0 0 1],14
15,[0 0 0 1],15
16,[0 0 0 1],16
17,[0 0 0 1],17
18,[0 0 0 1],18
19,[1 0 0 0],19
20,[0 0 0 0],20
21,[0 1 0 1],21
22,[1 0 0 0],22
23,[0 0 0 1],23
24,[0 0 0 1],24
25,[0 1 0 0],25
26,[0 0 0 1],26
27,[1 0 0 0],27
28,[0 0 0 1],28
29,[0 1 0 0],29
30,[0 0 1 0],30
31,[0 0 1 0],31
32,[0 0 1 0],32
33,[0 0 1 0],33
34,[0 0 0 0],34
35,[1 0 1 0],35
36,[1 0 0 0],36
37,[1 0 0 0],37
38,[1 0 0 0],38
39,[0 1 0 0],39
40,[0 1 0 0],40
41,[0 0 0 1],41
42,[0 0 0 1],42
43,[1 0 0 0],43
44,[0 0 0 1],44
45,[0 0 0 1],45
46,[0 0 0 1],46
47,[0 0 0 1],47
48,[0 0 0 1],48
49,[0 0 1 0],49
50,[0 0 1 0],50
51,[0 0 1 0],51
52,[0 0 1 0],52
53,[0 0 1 0],53
54,[1 1 0 0],54
55,[0 1 0 0],55
56,[1 0 0 0],56
57,[1 0 0 0],57
58,[1 0 0 0],58
59,[1 0 0 0],59
60,[1 0 0 0],60
61,[0 0 0 1],61
62,[0 0 0 1],62
63,[0 0 0 0],63
64,[0 0 0 1],64
65,[0 0 0 1],65
66,[0 0 0 1],66
67,[0 0 0 1],67
68,[0 0 1 0],68
69,[0 0 1 0],69
70,[0 0 0 1],70
71,[0 0 0 1],71
72,[0 0 0 1],72
73,[0 0 0 1],73
74,[0 0 0 1],74
75,[0 0 0 1],75
76,[0 0 0 1],76
77,[1 0 0 0],77
78,[0 0 0 1],78
79,[0 0 0 1],79
80,[0 0 0 1],80
81,[0 0 0 1],81
82,[0 0 0 1],82
83,[0 0 0 1],83
84,[0 0 0 1],84
85,[0 0 0 1],85
86,[0 0 0 1],86
87,[0 0 0 1],87
88,[0 0 0 1],88
89,[0 0 0 1],89
90,[0 0 0 1],90
91,[0 0 0 1],91
92,[0 0 0 1],92
93,[0 0 0 1],93
94,[0 0 0 1],94
95,[0 0 0 1],95
96,[0 0 0 1],96
97,[0 0 0 1],97
98,[0 0 0 1],98
99,[0 0 0 1],99
100,[1 0 0 0],100
101,[1 0 0 0],101
102,[1 0 0 0],102
103,[1 0 0 0],103
104,[1 0 0 0],104
105,[1 0 0 0],105
106,[1 0 0 0],106
107,[0 0 0 1],107
108,[0 0 0 1],108
109,[0 0 0 1],109
110,[0 0 0 1],110
111,[0 0 0 1],111
112,[0 0 0 1],112
113,[0 0 0 1],113
114,[0 0 0 1],114
115,[0 0 0 1],115
116,[0 0 1 0],116
117,[0 0 0 1],117
118,[0 0 0 1],118
119,[0 0 0 1],119
120,[0 0 0 1],120
121,[0 0 0 1],121
122,[1 0 0 0],122
123,[1 0 0 0],123
124,[0 1 0 1],124
125,[0 0 0 1],125
126,[0 0 0 1],126
127,[0 0 1 0],127
128,[0 0 1 0],128
129,[0 0 1 0],129
130,[0 0 0 1],130
131,[0 0 0 1],131
132,[0 0 0 1],132
133,[0 0 0 1],133
134,[0 0 0 1],134
135,[0 0 0 1],135
136,[0 0 0 1],136
137,[0 0 0 1],137
138,[0 0 0 1],138
139,[0 0 0 1],139
140,[0 0 0 1],140
141,[0 0 0 1],141
142,[0 0 0 1],142
143,[0 0 0 1],143
144,[0 0 0 1],144
146,[0 0 0 1],145
147,[0 0 0 1],146
148,[0 0 0 1],147
149,[0 0 0 1],148
150,[0 0 0 1],149
151,[0 0 0 1],150
152,[0 0 0 1],151
153,[0 0 0 1],152
154,[0 0 0 1],153
155,[0 0 0 1],154
156,[0 0 0 1],155
157,[0 0 0 1],156
158,[0 0 0 1],157
159,[0 0 0 1],158
160,[0 0 0 1],159
161,[0 0 0 1],160
162,[0 0 0 1],161
163,[0 0 0 1],162
164,[0 0 0 1],163
165,[0 0 0 1],164
166,[0 0 0 1],165
167,[0 0 0 1],166
168,[0 0 0 1],167
169,[0 0 0 1],168
170,[0 0 0 1],169
171,[0 0 1 0],170
172,[0 0 0 1],171
173,[0 0 0 1],172
174,[1 0 0 0],173
175,[1 0 0 0],174
176,[1 0 0 0],175
177,[1 0 0 0],176
178,[1 0 0 0],177
179,[0 0 0 1],178
180,[0 0 0 1],179
181,[0 0 0 1],180
182,[0 0 0 1],181
183,[1 0 0 0],182
184,[0 0 0 1],183
185,[0 0 0 1],184
186,[0 0 0 1],185
187,[0 0 0 1],186
188,[1 0 0 0],187
189,[1 0 0 0],188
190,[0 0 0 0],189
191,[0 0 0 0],190
192,[1 0 0 0],191
193,[0 0 0 0],192
194,[0 0 1 0],193
195,[1 0 0 0],194
196,[1 0 0 0],195
197,[0 0 0 1],196
198,[1 0 0 0],197
199,[1 0 0 0],198
200,[1 0 0 0],199
201,[0 0 1 0],200
202,[1 0 0 0],201
203,[0 0 0 0],202
204,[0 0 0 0],203
205,[0 0 0 0],204
206,[0 1 1 0],205
207,[0 1 0 0],206
208,[0 1 0 0],207
209,[0 0 0 1],208
210,[1 0 0 0],209
211,[1 0 0 0],210
212,[1 0 0 0],211
213,[1 0 0 0],212
214,[0 0 0 1],213
215,[0 0 0 0],214
216,[0 0 0 1],215
217,[0 0 1 0],216
218,[0 0 0 1],217
219,[0 0 0 1],218
220,[0 0 0 1],219
221,[0 0 0 1],220
222,[0 0 0 0],221
223,[0 0 0 1],222
224,[0 0 0 1],223
225,[0 0 0 1],224
226,[0 0 0 1],225
227,[0 1 0 0],226
228,[0 1 0 0],227
229,[0 0 0 1],228
230,[0 0 0 1],229
231,[0 1 0 0],230
232,[0 1 0 0],231
233,[0 0 0 0],232
