ID,Category
1,[0 0 0 1]
2,[0 1 1 0]
3,[0 1 0 0]
4,[0 0 0 0]
5,[1 1 0 0]
6,[1 0 0 0]
7,[0 0 0 1]
8,[0 0 0 1]
9,[0 0 0 1]
10,[0 0 0 1]
11,[0 0 0 1]
12,[0 0 0 1]
13,[1 0 0 0]
14,[0 0 1 0]
15,[0 0 0 1]
16,[0 0 0 1]
17,[0 1 0 0]
18,[1 0 0 0]
19,[0 0 0 0]
20,[0 1 0 0]
21,[0 1 0 0]
22,[0 0 0 1]
23,[0 1 0 0]
24,[1 0 0 0]
25,[0 0 1 0]
26,[0 0 0 1]
27,[0 0 1 0]
28,[0 0 0 1]
29,[0 0 0 1]
30,[0 0 0 1]
31,[0 0 0 1]
32,[0 0 0 1]
33,[0 0 1 0]
34,[0 0 0 1]
35,[0 0 0 1]
36,[0 0 0 0]
37,[0 0 0 1]
38,[0 0 0 1]
39,[0 1 0 0]
40,[1 0 0 0]
41,[1 0 0 0]
42,[0 0 0 1]
43,[1 0 0 0]
44,[1 0 0 0]
45,[1 0 0 0]
46,[1 0 0 0]
47,[1 0 0 0]
48,[0 0 0 1]
49,[0 0 0 1]
50,[0 0 0 1]
51,[0 0 0 1]
52,[0 0 0 0]
53,[0 0 0 1]
54,[0 0 0 1]
55,[0 0 0 1]
56,[1 0 0 0]
57,[0 1 0 0]
58,[0 1 0 0]
59,[0 0 0 1]
60,[0 0 0 1]
61,[0 0 0 1]
62,[0 0 0 1]
63,[0 0 0 1]
64,[0 0 0 1]
65,[0 0 0 1]
66,[0 0 0 1]
67,[0 0 0 1]
68,[0 0 0 1]
69,[0 0 0 1]
70,[0 0 0 1]
71,[0 0 0 1]
72,[0 0 0 1]
73,[0 0 0 1]
74,[1 0 0 0]
75,[0 0 0 1]
76,[0 0 0 1]
77,[0 0 0 1]
78,[0 0 0 1]
79,[0 0 0 1]
80,[0 0 0 1]
81,[0 0 0 1]
82,[0 0 0 1]
83,[0 0 0 1]
84,[1 0 0 0]
85,[0 0 0 1]
86,[1 0 0 0]
87,[1 0 0 0]
88,[1 0 0 0]
89,[1 0 0 0]
90,[1 0 0 0]
91,[0 0 0 1]
92,[0 0 0 1]
93,[0 0 0 0]
94,[1 0 0 0]
95,[0 1 0 0]
96,[1 0 0 0]
97,[1 0 0 0]
98,[0 0 0 1]
99,[0 0 0 1]
100,[0 0 0 1]
101,[0 0 0 1]
102,[1 0 0 0]
103,[0 0 0 1]
104,[1 0 0 0]
105,[1 0 0 0]
106,[1 0 0 0]
